"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"CP2104-F03-GM";"QFN50P400X400X80-25N";"U5";"USB-to-UART 1-CH 576byte FIFO 3.3V 24-Pin QFN EP T/R";"";
"1";"";"HEADER-1X2ROUND";"1X02_ROUND";"JP1";"PIN HEADER";"";
"1";"";"HEADER-1X6ROUND";"1X06_ROUND";"JP3";"PIN HEADER";"";
"1";"0.22uF";"CAP_CERAMIC0603";"0603";"C2";"Ceramic Capacitors";"";
"4";"100k立";"RESISTOR0603";"0603";"R1, R2, R5, R11";"Resistors";"";
"1";"10118193-0001LF";"10118193-0001LF";"FCI_10118193-0001LF";"J1";"Micro USB B Type Receptacle";"";
"2";"10k立";"RESISTOR0603";"0603";"R3, R4";"Resistors";"";
"6";"10uF";"CAP_CERAMIC0603";"0603";"C1, C3, C4, C6, C7, C8";"Ceramic Capacitors";"";
"2";"1k立";"RESISTOR0603";"0603";"R9, R10";"Resistors";"";
"1";"1uF";"CAP_CERAMIC0603";"0603";"C5";"Ceramic Capacitors";"";
"3";"4.7k立";"RESISTOR0603";"0603";"R6, R7, R8";"Resistors";"";
"1";"AP2112K-3.3TRG1";"AP2112K-3.3TRG1";"SOT95P285X140-5N";"U6";"AP2112 Series 0.6 A 3.3 V Fixed Output SMT LDO Linear Regulator - SOT23-5";"";
"1";"CJS-1200TA";"CJS-1200TA";"SW_CJS-1200TA";"S1";"Switch Slide N.O./N.C. SPDT Raised Slide 0.1A 24VDC J-Hook SMD Embossed T/R";"";
"1";"ESP32-WROOM-32";"ESP32-WROOM-32";"MODULE_ESP32-WROOM-32";"U4";"Bluetooth, WiFi Transceiver Module 2.4GHz ~ 2.5GHz Surface Mount";"";
"2";"KMR211GLFS";"SPST_TACT-KMR2";"KMR2";"SW1, SW2";"SMT 6mm switch, EVQQ2 series";"";
"1";"LSM9DS1TR";"LSM9DS1TR";"PQFN43P300X350X102-24N";"U3";"The LSM9DS1 is a system-in-package featuring a";"";
"2";"MBR120";"DIODESOD-123";"SOD-123";"D1, D2";"Diode";"";
"1";"MCP73831T-2ACI/OT";"MCP73831T-2ACI/OT";"SOT95P280X145-5N";"U$1";"Charge Management Controller";"";
"2";"MMBT2222A-7-F";"MMBT2222A-7-F";"SOT103P240X110-3N";"U1, U2";"NPN SMALL SIGNAL SURFACE MOUNT TRANSISTOR";"";
"1";"ORANGE";"LED0603";"CHIPLED_0603";"LED2";"LED";"";
"1";"RED";"LED0603";"CHIPLED_0603";"LED1";"LED";"";
